care,pn,bp,poc,disease,metric,year,value
high,moderate,moderate,True,ng,prevalence,2029,0.007064774353678661
high,moderate,moderate,True,ng,prevalence,2030,0.005735180974838196
high,moderate,moderate,True,ng,prevalence,2031,0.0048559225344220625
high,moderate,moderate,True,ng,prevalence,2032,0.004319818605843279
high,moderate,moderate,True,ng,prevalence,2033,0.004613362948204376
high,moderate,moderate,True,ng,prevalence,2034,0.004128818326188023
high,moderate,moderate,True,ng,prevalence,2035,0.0032929641305626837
high,moderate,moderate,True,ng,prevalence,2036,0.0029028799643801726
high,moderate,moderate,True,ng,prevalence,2037,0.0030984971109359904
high,moderate,moderate,True,ng,prevalence,2038,0.00327325395919819
high,moderate,moderate,True,ng,prevalence,2039,0.0025527452882540907
high,moderate,moderate,True,ng,prevalence,2040,0.0026681178354369924
high,moderate,none,True,ng,prevalence,2027,0.014867140193265738
high,moderate,none,True,ng,prevalence,2028,0.01274981500626655
high,moderate,none,True,ng,prevalence,2029,0.012088873822678248
high,moderate,none,True,ng,prevalence,2030,0.011309220269103576
