arm,seed,uid,t0_year,reinfected,months,src_cat
SOC,263004,2589,2031,True,1.0,f_other
SOC,263004,2700,2028,False,,none
SOC,263004,2711,2033,True,21.0,f_other
SOC,263004,2732,2036,False,,none
SOC,263004,2733,2028,True,4.0,f_other
SOC,263004,2771,2030,True,2.0,f_other
SOC,263004,2787,2028,False,,none
SOC,263004,2795,2035,False,,none
SOC,263004,2988,2028,False,,none
SOC,263004,3011,2029,False,,none
SOC,263004,3075,2034,True,2.0,f_other
SOC,263004,3078,2028,False,,none
SOC,263004,3150,2028,True,4.0,f_other
SOC,263004,3179,2029,False,,none
SOC,263004,3279,2029,True,1.0,f_other
SOC,263004,3294,2036,True,6.0,f_other
SOC,263004,3308,2031,True,1.0,f_other
SOC,263004,3319,2028,False,,none
SOC,263004,3364,2028,True,6.0,f_other
SOC,263004,3377,2028,True,3.0,f_other
SOC,263004,3378,2033,True,16.0,f_other
SOC,263004,3422,2030,True,6.0,f_other
SOC,263004,3433,2029,False,,none
SOC,263004,3510,2033,False,,none
SOC,263004,3560,2030,False,,none
SOC,263004,3652,2028,False,,none
SOC,263004,3681,2030,True,8.0,m_other
SOC,263004,3710,2037,True,7.0,f_other
SOC,263004,3734,2032,True,7.0,f_other
SOC,263004,3774,2032,False,,none
SOC,263004,3843,2035,True,32.0,f_other
SOC,263004,3849,2028,True,10.0,f_other
SOC,263004,3966,2029,False,,none
SOC,263004,3995,2028,True,1.0,f_other
SOC,263004,4008,2029,False,,none
SOC,263004,4074,2035,False,,none
SOC,263004,4091,2028,True,13.0,f_other
SOC,263004,4093,2030,False,,none
SOC,263004,4127,2028,True,1.0,f_other
SOC,263004,4228,2028,True,2.0,f_other
SOC,263004,4251,2031,True,2.0,f_other
SOC,263004,4271,2029,False,,none
SOC,263004,4318,2029,True,3.0,f_other
SOC,263004,4322,2028,True,1.0,f_other
SOC,263004,4373,2029,True,15.0,m_other
SOC,263004,4389,2030,True,2.0,f_other
SOC,263004,4418,2031,True,1.0,f_other
SOC,263004,4467,2028,False,,none
SOC,263004,4512,2028,False,,none
SOC,263004,4614,2029,True,4.0,f_other
SOC,263004,4693,2029,True,4.0,f_other
SOC,263004,4710,2029,True,4.0,m_other
SOC,263004,4744,2035,True,6.0,f_other
SOC,263004,4777,2030,True,10.0,f_other
SOC,263004,4793,2028,False,,none
SOC,263004,4794,2028,True,19.0,m_other
SOC,263004,4835,2030,True,4.0,f_other
SOC,263004,4868,2029,True,18.0,f_other
SOC,263004,4870,2029,False,,none
SOC,263004,4898,2028,False,,none
SOC,263004,4993,2029,True,3.0,fsw
SOC,263004,5008,2029,True,7.0,f_other
SOC,263004,5027,2030,True,14.0,f_other
SOC,263004,5092,2034,False,,none
SOC,263004,5157,2036,False,,none
SOC,263004,5175,2030,False,,none
SOC,263004,5212,2030,False,,none
SOC,263004,5312,2028,True,16.0,m_other
SOC,263004,5343,2028,False,,none
SOC,263004,5376,2028,True,27.0,f_other
SOC,263004,5379,2028,True,3.0,f_other
SOC,263004,5406,2029,False,,none
SOC,263004,5436,2032,False,,none
SOC,263004,5572,2030,True,9.0,f_other
SOC,263004,5632,2029,False,,none
SOC,263004,5693,2028,True,15.0,f_other
SOC,263004,5707,2034,False,,none
SOC,263004,5711,2032,False,,none
SOC,263004,5764,2029,True,2.0,f_other
SOC,263004,5817,2028,True,28.0,f_other
SOC,263004,5867,2033,True,1.0,f_other
SOC,263004,5936,2029,True,2.0,f_other
SOC,263004,5945,2028,True,9.0,f_other
SOC,263004,5957,2029,True,8.0,m_other
SOC,263004,6020,2033,False,,none
SOC,263004,6048,2028,True,16.0,f_other
SOC,263004,6052,2031,True,1.0,f_other
SOC,263004,6062,2030,True,2.0,m_other
SOC,263004,6113,2030,False,,none
SOC,263004,6129,2028,True,12.0,f_other
SOC,263004,6176,2032,False,,none
SOC,263004,6206,2030,False,,none
SOC,263004,6233,2030,True,31.0,f_other
SOC,263004,6243,2034,False,,none
SOC,263004,6268,2028,False,,none
SOC,263004,6328,2029,True,1.0,f_other
SOC,263004,6362,2030,False,,none
SOC,263004,6372,2033,False,,none
SOC,263004,6402,2030,False,,none
SOC,263004,6517,2036,True,4.0,fsw
SOC,263004,6522,2029,False,,none
SOC,263004,6532,2028,True,6.0,f_other
