draw_idx,hiv_prev_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
258,0.04469809585016821,0.3071875432809518,0.1472644408046182,2.183888097653933,0.6594329785861831,0.4565092896145284,0.36416561898445304,0.17932509140101702,0.1281748948046712,0.0,0.024161908033087,542590.0,0.0,39986.65,4.241316941153892,1,104.2413169411539,454
259,0.0869189707506818,0.38023960606950924,0.214910130319512,2.8144533742956233,0.7015823873409006,0.4247468925574441,0.38329748720838,0.1919556202341744,0.031070096743790403,0.10877529192923122,0.1419871046003448,155518.3,95175.1,226230.45,4.380041760910063,0,4.380041760910063,262
260,0.1395619809210948,0.19040456524733881,0.11407292327410781,4.3176064070777995,0.4296935365761274,0.3515354289991408,0.1651166943859596,0.08334787661489901,0.00024877002097980003,0.184738855153737,0.27747184518299084,1735.65,152899.6,501900.1,2.354656097151264,0,2.354656097151264,91
261,0.0713402088759336,0.3541012595069134,0.22984593075580922,2.2281962307366405,0.749057206818032,0.579179571364923,0.2826275273267002,0.1381929013083758,0.030393913901368003,0.1354241329121138,0.0,148145.05,119925.15,0.0,4.502732422516549,1,104.50273242251654,467
262,0.0208708214316962,0.40079759646982965,0.26893270147103243,1.7054976135169944,0.7462680860929856,0.48932558222001143,0.3403546682222266,0.1702852191710202,0.1484700271351692,0.0003289604070897519,0.32000415798485804,685735.45,416.15,715016.75,6.494205044974732,1,106.49420504497473,490
263,0.0372831429036984,0.040682489808592806,0.018985080449108203,4.910202704737605,0.12307692307692301,0.07959381044487421,0.0815280464216634,0.038878143133462204,0.0192096890035948,0.13027848784304322,0.22115987447797,99429.4,122871.55,422096.45,0.485455357715895,0,0.485455357715895,2
264,0.1375674817866774,0.3623526981964442,0.23046074441272904,3.466749922753465,0.6987602738564744,0.43824022076275604,0.37971828119047724,0.182041498046765,0.11320570107666121,0.0775177944761882,0.2016876931655318,485639.8,71569.1,369686.2,5.106919000214158,0,5.106919000214158,300
265,0.06343083208034081,0.27176767692849163,0.12014723834886662,2.725249974477927,0.6054046722705473,0.5378951428783896,0.3131585426073216,0.14894631451428703,0.008402384816828,0.15802884584939042,0.0883159347804644,42761.95,135843.25,143410.8,2.7006147301766807,0,2.7006147301766807,108
266,0.0671114443616182,0.34238925560623223,0.15201539487256102,2.6113252022522286,0.6548531608858387,0.5647756480014826,0.2926890323260364,0.1425353196724794,0.0030521947916612004,0.1057971120081012,0.0690356279325334,14906.0,85293.35,103940.35,3.5035325447175203,0,3.5035325447175203,182
267,0.050488253695796,0.141284732269906,0.0941157457579064,1.3649121553022827,0.2763157894736842,0.2001892049466072,0.13141802945896258,0.0683927655944294,0.0164673281757022,0.2778720972226882,0.09893620122681981,87421.95,268067.3,181999.65,2.052746374161252,0,2.052746374161252,68
