draw_idx,hiv_prev_15_49_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
374,0.22124356104097087,0.1165733373833346,0.05049036880918789,2.8764199038723057,0.3383985973115137,0.23395815007943216,0.11273517560607434,0.05330667431449354,0.01463223375707238,0.08747367306104867,0.24164152376745296,71499.5,75030.25,423485.55,1.2003254117181634,0,1.2003254117181634,24
375,0.1677950378401809,0.3684682570424623,0.198310259531018,2.7930455533299954,0.7966653223096054,0.5331439490665988,0.3192482670358837,0.14760778389751744,0.039763301540044906,0.20569488237557199,0.1510561782413863,198316.5,187643.05,268805.35,4.276634782851799,0,4.276634782851799,249
376,0.12376326949863554,0.0,0.0,,0.0,0.0,0.0,0.0,0.13213079487843332,0.049556185836495494,0.0,578435.45,48422.75,0.0,1.4903400284328339,2,201.49034002843283,496
377,0.2027558185788103,0.1366206636663423,0.062494041856513104,2.6488661354098366,0.2843790849673203,0.21646398468766423,0.12282608120355935,0.06070993410877641,0.1367017816400324,0.20399229133033442,0.0,595110.45,186414.9,0.0,2.37989775547441,1,102.37989775547442,359
378,0.18572128933154128,0.29167454846550706,0.1406956002548607,3.9209802521491923,0.5766754411108291,0.4240826004053143,0.3806726836684381,0.19524471592624765,0.024326328567881278,0.0,0.37678079656944974,98508.65,0.0,777714.75,3.342114206135678,1,103.34211420613568,413
379,0.06617631944336713,0.2933453782034988,0.15108264823252332,2.4050692431634313,0.5804710090424375,0.5887313231191555,0.27681749595344923,0.13445118092739525,0.12595759213086638,0.036713486581847296,0.31229242059209406,577685.8,38285.8,675953.75,4.167999017505295,0,4.167999017505295,234
380,0.030185194710098347,0.3425077241038813,0.1625829361883097,2.0153501234640467,0.6925023838496588,0.5176915086529534,0.3177277106775659,0.16458078066948065,0.06710788423936964,0.1569372981889182,0.04321476819343524,311209.15,147549.1,75420.3,3.970985138113594,0,3.970985138113594,221
381,0.18845314811174524,0.0,0.0,,0.0,0.0,0.0,0.0,0.08321650605540701,0.12057271249015629,0.31653892728955757,359573.9,110658.2,651005.05,1.1270574742504402,1,101.12705747425044,323
382,0.11841418209259884,0.11139365904038365,0.047224527779588805,4.007033810992895,0.25965794768611666,0.14635508493421295,0.18114266679407617,0.0725022482717109,0.015336039662278419,0.2575363301665937,0.02693668201386959,77151.6,231859.35,45891.05,1.2008087611434468,0,1.2008087611434468,25
383,0.15082212475144557,0.1288433645803096,0.07928421165765724,3.1478938379108246,0.27047522750252784,0.2626692188698523,0.08848714987271572,0.04884363125743203,0.13054667502294864,0.0,0.18418122486510516,548704.65,0.0,321621.6,2.4487170501790065,1,102.44871705017901,366
